X,Y
-1.6,-0.101
-1.349,-0.065
0.076,-1.371
-1.814,-0.493
2.211,-0.083
0.398,0.828
-1.53,-0.545
0.094,0.459
-0.855,-0.823
1.102,-0.026
-1.471,0.989
0.606,1.007
-0.428,1.77
0.463,0.102
1.375,0.324
-0.491,-0.618
-0.225,-0.572
-1.306,1.721
0.78,-0.537
0.493,0.477
0.713,1.887
-0.09,1.423
0.847,-0.312
-0.051,-0.281
0.638,0.638
0.035,-1.14
-1.095,-0.359
0.715,-2.779
-0.191,0.584
-1.137,-0.509
-0.005,1.082
1.768,0.714
0.801,0.016
1.301,-1.454
-0.041,-0.522
0.826,1.053
-0.493,0.844
1.729,1.17
0.993,-0.342
-0.755,-0.333
-0.94,-0.489
-0.692,-8.535
6.33,-6.799
9.219,3.475
3.709,11.072
7.964,6.287
-8.388,-4.47
-3.487,-9.684
-3.158,-10.616
9.801,5.714
-3.025,11.302
-10.747,-1.044
-11.308,-0.33
8.026,-6.337
5.123,-7.993
8.726,6.222
-6.642,-7.352
-9.351,0.526
-8.482,6.334
10.566,1.76
8.453,3.126
-7.752,-6.756
0.929,10.988
4.08,10.313
8.008,-5.936
7.703,5.528
-4.734,7.199
5.036,9.066
-6.815,9.366
1.342,-11.267
-8.484,-7.986
10.007,-0.707
5.596,9.216
5.849,-6.549
9.642,-1.299
8.515,7.188
-10.575,-0.692
-9.228,-2.04
-6.647,8.375
6.294,-6.371
0.52,-10.55
0.733,-11.191
8.073,-4.297
-7.018,-2.304
0.882,9.785
7.139,-4.655
8.821,-3.697
-8.432,-1.002
7.386,5.578
-1.248,10.357
-7.933,3.027
-8.461,5.753
6.433,-6.774
-5.786,7.933
8.45,7.242
-7.534,4.268
6.49,8.544
-7.354,4.421
-7.504,6.046
-7.586,4.13
2.131,-8.993
7.584,6.764
7.769,-5.377
6.258,-6.259
-2.595,8.056
8.899,-3.534
-7.659,4.061
10.87,0.6
-7.52,8.499
0.824,-8.783
-7.388,5.787
-9.777,-1.497
9.656,-6.759
-2.111,10.646
9.772,0.198
-10.264,-3.363
7.181,-8.042
9.319,-2.664
-7.171,-6.022
-8.398,2.821
11.021,3.475
-0.533,9.015
6.115,-7.222
9.613,0.949
4.475,-6.46
-5.377,-5.577
9.203,0.927
-8.932,4.312
7.845,5.451
-3.882,8.614
3.11,9.654
10.092,3.975
7.979,6.096
9.248,-1.292
-5.19,-8.234
-10.372,-3.381
10.399,2.185
-4.891,-7.373
-6.398,7.648
6.699,-8.603
-10.116,-1.112
-10.804,2.659
-6.648,7.373
-0.06,-10.248
-3.026,10.217
2.742,-9.182
7.273,7.573
7.95,-8.96
-2.744,9.338
11.744,0.221
9.442,0.099
10.476,0.008
2.433,-9.161
-3.199,-11.983
-8.181,4.985
9.196,6.182
6.237,-11.339
11.271,-2.949
7.76,5.111
-4.156,-9.576
-2.211,7.509
-1.219,-9.391
10.17,-1.254
-8.126,2.271
-9.321,-2.932
3.069,11.112
-4.609,-10.214
9.305,1.962
4.012,9.611
-9.765,-2.63
11.095,-3.439
-4.154,-8.464
-5.682,-8.644
-2.528,8.609
9.389,0.097
-3.272,10.334
-9.068,-5.163
-10.364,-5.001
3.464,9.476
-10.004,-0.699
-6.302,9.083
1.428,7.73
3.972,7.92
-5.524,-5.921
2.114,10.651
-10.032,-3.94
5.807,4.968
8.614,-8.12
2.437,-11.134
-8.806,-5.123
-6.882,-6.964
7.363,5.757
8.961,-3.851
-1.628,-9.986
-7.896,-1.482
8.901,3.482
-6.444,5.871
9.977,-0.844
4.62,6.769
4.088,10.633
-0.485,9.44
-0.705,-10.618
-8.789,-6.928
-4.962,9.896
5.829,-11.318
6.708,-5.492
10.075,-1.857
-6.364,-7.413
6.428,-7.918
-2.6,9.517
-6.656,-9.827
9.228,0.597
-10.166,1.441
1.673,-11.585
-2.375,-9.406
-10.069,-2.017
-10.371,2.024
-8.398,-2.849
-7.714,-7.063
-9.396,-3.594
9.119,-3.001
0.694,-7.421
7.009,4.053
-9.034,-4.218
-9.941,2.452
10.534,-2.42
-7.938,-6.011
-8.559,2.812
8.965,4.395
