East,North
63,78.5
110.9,56
114.1,60.6
35.8,49.1
32.4,48.6
30.3,53.9
112.3,65.6
75.5,77.8
40,55.6
29.2,43.9
58.4,79.2
105.4,57.6
34.2,39.4
26.2,46.6
30,41.7
67.7,62.3
70.2,72.5
36.2,47.8
109.1,59.8
114.6,66.5
68.8,77.4
109.1,52
103.8,54.7
109.2,66.7
26.7,46.5
67.8,69.9
59,79.5
112.2,65.2
109.7,56.2
23.9,41.4
63.7,86
24,49.1
75,82.4
107.2,55.2
112.4,51.1
39.6,53.6
68.9,83.3
55.5,76.1
64.3,76.7
39.5,55.8
119.5,61.3
119.9,42.4
25.9,30.2
110.5,72
109.3,53.5
110.8,51.5
33.2,54.1
28,52.8
34.6,51.9
110.9,56.2
45.1,52
67.6,77.4
66.8,70.5
39.4,43.2
64,77.1
33.6,43.4
119.8,69.1
108.6,71.4
111.7,72.6
35.3,43.8
101.5,51
65.5,73.1
31.1,45.4
37.7,45.7
109.7,64.4
70.9,83.2
26.9,33.1
36.8,41.7
25.7,56.7
105.6,50
67.5,70.7
116.8,58.6
37.6,39.7
111.8,62.9
66.9,69
69.4,82
62.2,71
62.5,71.7
23.6,46.4
111.7,66.4
114.7,65.1
71.6,77.6
27.6,46.6
108.4,58
101.7,51.1
62.1,83.5
110.3,67.4
35.7,47
26.3,47.4
73.3,78.8
61.2,76.5
71.2,83.6
108.1,55.7
70.8,72.6
106.3,67.2
74.5,72.3
70.5,73.7
30,39.3
64.5,65.2
36.9,48.9
55.5,71.7
67.2,82.5
37.5,46.4
117.7,64.6
106.8,57.6
62.6,82.5
30.1,40.9
34.9,42.2
69.6,73.1
35.6,49.3
60.9,78.6
114.1,43.4
33.7,39.3
112.5,63.2
103.4,56.6
